#SampleID	SAMPLING_cruise	depth	ESP	SAMPLING_station	SC	SAMPLING_station_number	diel
CN19Sc34_12_eDNA_RR	CN19S	0	NA	MARS	NA	34	night
CN19Sc34_11_eDNA_RR	CN19S	35	NA	MARS	NA	34	night
CN19Sc34_9_eDNA_RR	CN19S	100	NA	MARS	NA	34	night
CN19Sc34_8_eDNA_RR	CN19S	125	NA	MARS	NA	34	night
CN19Sc34_7_eDNA_RR	CN19S	200	NA	MARS	NA	34	night
CN19Sc34_6_eDNA_RR	CN19S	250	NA	MARS	NA	34	night
CN19Sc34_4_eDNA_RR	CN19S	400	NA	MARS	NA	34	night
CN19Sc03_12_eDNA_JJ	CN19S	0	NA	MARS	NA	3	night
CN19Sc03_10_eDNA_JJ	CN19S	40	NA	MARS	NA	3	night
CN19Sc03_9_eDNA_JJ	CN19S	80	NA	MARS	NA	3	night
CN19Sc03_7_eDNA_JJ	CN19S	150	NA	MARS	NA	3	night
CN19Sc03_5_eDNA_JJ	CN19S	250	NA	MARS	NA	3	night
CN19Sc03_4_eDNA_JJ	CN19S	300	NA	MARS	NA	3	night
CN19Sc03_3_eDNA_JJ	CN19S	400	NA	MARS	NA	3	night
CN19Sc12_12_eDNA_JJ	CN19S	0	NA	MARS	NA	12	night
CN19Sc12_10_eDNA_JJ	CN19S	45	NA	MARS	NA	12	night
CN19Sc12_9_eDNA_JJ	CN19S	80	NA	MARS	NA	12	night
CN19Sc12_7_eDNA_JJ	CN19S	150	NA	MARS	NA	12	night
CN19Sc12_5_eDNA_JJ	CN19S	280	NA	MARS	NA	12	night
CN19Sc12_4_eDNA_JJ	CN19S	400	NA	MARS	NA	12	night
CN19Sc12_3_eDNA_JJ	CN19S	500	NA	MARS	NA	12	night
CN19Sc18_12_eDNA_JJ	CN19S	0	NA	MARS	NA	18	night
CN19Sc18_10_eDNA_JJ	CN19S	45	NA	MARS	NA	18	night
CN19Sc18_9_eDNA_JJ	CN19S	80	NA	MARS	NA	18	night
CN19Sc18_8_eDNA_JJ	CN19S	100	NA	MARS	NA	18	night
CN19Sc18_7_eDNA_JJ	CN19S	150	NA	MARS	NA	18	night
CN19Sc18_5_eDNA_JJ	CN19S	280	NA	MARS	NA	18	night
CN19Sc18_4_eDNA_JJ	CN19S	400	NA	MARS	NA	18	night
CN19Sc18_3_eDNA_JJ	CN19S	500	NA	MARS	NA	18	night
CN19Sc25_12_eDNA_JJ	CN19S	0	NA	MARS	NA	25	night
CN19Sc25_10_eDNA_JJ	CN19S	40	NA	MARS	NA	25	night
CN19Sc25_9_eDNA_JJ	CN19S	80	NA	MARS	NA	25	night
CN19Sc25_7_eDNA_JJ	CN19S	150	NA	MARS	NA	25	night
CN19Sc25_6_eDNA_JJ	CN19S	215	NA	MARS	NA	25	night
CN19Sc25_5_eDNA_JJ	CN19S	280	NA	MARS	NA	25	night
CN19Sc25_4_eDNA_JJ	CN19S	400	NA	MARS	NA	25	night
